query	qlen	hits	sgenome	sseqid	qcovGnm	cls	hsp	qcovHSP	alenHSP	pident	gaps	qstart	qend	sstart	send	sstr	slen	evalue	bitscore
ENA|CP153139|CP153139.1	33783	100	SAMEA7773988	SAMEA7773988.contig00017	100.000	1	1	69.630	23523	100.000	0	10261	33783	1	23523	+	33910	0.00e+00	42421
ENA|CP153139|CP153139.1	33783	100	SAMEA7773988	SAMEA7773988.contig00017	100.000	2	2	30.746	10387	100.000	0	1	10387	23524	33910	+	33910	0.00e+00	18732
ENA|CP153139|CP153139.1	33783	100	SAMEA7773988	SAMEA7773988.contig00017	100.000	3	3	6.755	2282	100.000	0	11427	13708	1167	3448	+	33910	0.00e+00	4116
ENA|CP153139|CP153139.1	33783	100	SAMEA7773988	SAMEA7773988.contig00017	100.000	4	4	6.607	2232	100.000	0	11547	13778	1287	3518	+	33910	0.00e+00	4026
ENA|CP153139|CP153139.1	33783	100	SAMEA7773988	SAMEA7773988.contig00017	100.000	5	5	6.323	2136	100.000	0	15195	17330	4935	7070	+	33910	0.00e+00	3853
ENA|CP153139|CP153139.1	33783	100	SAMEA7773988	SAMEA7773988.contig00017	100.000	6	6	6.323	2136	100.000	0	15275	17410	5015	7150	+	33910	0.00e+00	3853
ENA|CP153139|CP153139.1	33783	100	SAMEA7773988	SAMEA7773988.contig00017	100.000	7	7	6.021	2034	100.000	0	17586	19619	7326	9359	+	33910	0.00e+00	3669
ENA|CP153139|CP153139.1	33783	100	SAMEA7773988	SAMEA7773988.contig00017	100.000	8	8	5.920	2000	100.000	0	17513	19512	7253	9252	+	33910	0.00e+00	3608
ENA|CP153139|CP153139.1	33783	100	SAMEA7773988	SAMEA7773988.contig00017	100.000	9	9	5.775	1951	100.000	0	15380	17330	5120	7070	+	33910	0.00e+00	3519
ENA|CP153139|CP153139.1	33783	100	SAMEA7773988	SAMEA7773988.contig00017	100.000	10	10	5.627	1901	100.000	0	11773	13673	1513	3413	+	33910	0.00e+00	3429
ENA|CP153139|CP153139.1	33783	100	SAMEA7773988	SAMEA7773988.contig00017	100.000	11	11	3.807	1286	100.000	0	9102	10387	32625	33910	+	33910	0.00e+00	2320
ENA|CP153139|CP153139.1	33783	100	SAMEA7773988	SAMEA7773988.contig00017	100.000	12	12	3.232	1092	100.000	0	10261	11352	1	1092	+	33910	0.00e+00	1970
ENA|CP153139|CP153139.1	33783	100	SAMEA7773988	SAMEA7773988.contig00017	100.000	13	13	3.132	1058	100.000	0	9330	10387	32853	33910	+	33910	0.00e+00	1909
ENA|CP153139|CP153139.1	33783	100	SAMEA7773988	SAMEA7773988.contig00017	100.000	14	14	3.058	1033	100.000	0	10261	11293	1	1033	+	33910	0.00e+00	1864
ENA|CP153139|CP153139.1	33783	100	SAMN34996738	SAMN34996738.contig00026	98.458	1	1	70.074	23678	96.055	8	10111	33783	7644	31318	+	34987	0.00e+00	38544
ENA|CP153139|CP153139.1	33783	100	SAMN34996738	SAMN34996738.contig00026	98.458	2	2	10.860	3669	93.731	0	1	3669	31319	34987	+	34987	0.00e+00	5580
ENA|CP153139|CP153139.1	33783	100	SAMN34996738	SAMN34996738.contig00026	98.458	3	3	10.277	3473	94.212	5	6859	10330	4452	7920	+	34987	0.00e+00	5402
ENA|CP153139|CP153139.1	33783	100	SAMN34996738	SAMN34996738.contig00026	98.458	4	4	8.262	2791	96.704	0	3547	6337	1	2791	+	34987	0.00e+00	4619
ENA|CP153139|CP153139.1	33783	100	SAMN34996738	SAMN34996738.contig00026	98.458	5	5	6.323	2136	97.425	3	15275	17410	12810	14942	+	34987	0.00e+00	3622
ENA|CP153139|CP153139.1	33783	100	SAMN34996738	SAMN34996738.contig00026	98.458	6	6	6.187	2092	96.080	2	11502	13591	9035	11126	+	34987	0.00e+00	3422
ENA|CP153139|CP153139.1	33783	100	SAMN34996738	SAMN34996738.contig00026	98.458	7	7	5.751	1943	97.478	3	15380	17322	12915	14854	+	34987	0.00e+00	3301
ENA|CP153139|CP153139.1	33783	100	SAMN34996738	SAMN34996738.contig00026	98.458	8	8	5.808	1964	95.876	2	11630	13591	9163	11126	+	34987	0.00e+00	3195
ENA|CP153139|CP153139.1	33783	100	SAMN34996738	SAMN34996738.contig00026	98.458	9	9	5.171	1747	96.222	0	11630	13376	9163	10909	+	34987	0.00e+00	2854
ENA|CP153139|CP153139.1	33783	100	SAMN34996738	SAMN34996738.contig00026	98.458	10	10	3.265	1103	97.643	0	10111	11213	7644	8746	+	34987	0.00e+00	1873
ENA|CP153139|CP153139.1	33783	100	SAMN05982250	SAMN05982250.contig00025	99.378	1	1	51.908	17542	95.958	10	16248	33783	3532	21069	+	33515	0.00e+00	28507
ENA|CP153139|CP153139.1	33783	100	SAMN05982250	SAMN05982250.contig00025	99.378	2	2	36.853	12459	95.762	22	1	12450	21070	33515	+	33515	0.00e+00	20206
ENA|CP153139|CP153139.1	33783	100	SAMN05982250	SAMN05982250.contig00025	99.378	3	3	10.923	3692	95.910	2	12661	16350	23	3714	+	33515	0.00e+00	5995
